Age,Gender,Weight(kg),Daily Water Intake (liters),Physical Activity Level,Hydration Level
20,Female,45.18,2.73,Low,Hydrated
45,Male,49.26,1.94,Low,At Risk of Dehydration
25,Male,97.35,2.43,Low,At Risk of Dehydration
26,Female,68.82,3.44,Low,Hydrated
29,Male,75.6,1.72,Moderate,Hydrated
46,Male,55.06,3.68,High,Hydrated
25,Male,46.4,2.3,High,At Risk of Dehydration
59,Female,95.37,1.32,Moderate,Hydrated
22,Female,68.79,2.27,Low,At Risk of Dehydration
25,Male,45.45,3.55,High,At Risk of Dehydration
43,Female,57.49,3.44,Low,Hydrated
30,Male,53.03,2.99,Moderate,Hydrated
56,Male,73.83,3.93,Low,Hydrated
45,Male,59.35,2.52,Low,At Risk of Dehydration
25,Female,65.5,2.0,Moderate,At Risk of Dehydration
54,Female,69.89,2.15,Low,At Risk of Dehydration
50,Male,83.74,1.6,Moderate,At Risk of Dehydration
30,Male,61.69,3.45,Low,At Risk of Dehydration
25,Female,77.01,3.13,High,At Risk of Dehydration
32,Female,92.55,1.3,Moderate,At Risk of Dehydration
40,Female,70.34,3.71,High,Hydrated
18,Male,85.32,1.1,High,At Risk of Dehydration
46,Male,50.19,3.86,Moderate,Hydrated
20,Female,71.6,3.38,High,At Risk of Dehydration
39,Male,56.6,2.49,High,At Risk of Dehydration
22,Male,93.89,1.36,Low,At Risk of Dehydration
27,Male,65.07,2.39,Moderate,At Risk of Dehydration
59,Male,90.8,1.16,Moderate,At Risk of Dehydration
18,Male,82.07,1.85,Low,At Risk of Dehydration
52,Male,60.83,1.78,Low,Hydrated
35,Female,72.27,1.85,Moderate,At Risk of Dehydration
53,Female,63.81,1.67,High,At Risk of Dehydration
32,Male,70.93,3.75,Low,Hydrated
45,Female,91.22,2.69,Low,At Risk of Dehydration
50,Male,85.17,3.38,Low,Hydrated
27,Female,58.75,2.38,Moderate,At Risk of Dehydration
20,Female,50.03,2.53,High,At Risk of Dehydration
32,Female,66.86,3.23,Low,Hydrated
24,Male,81.17,1.82,Moderate,At Risk of Dehydration
27,Male,79.32,1.04,Moderate,At Risk of Dehydration
31,Male,59.0,2.45,High,At Risk of Dehydration
33,Female,49.57,2.04,Low,At Risk of Dehydration
49,Male,54.31,1.24,Low,At Risk of Dehydration
22,Female,97.83,1.23,High,At Risk of Dehydration
43,Female,97.36,3.56,High,At Risk of Dehydration
45,Female,88.0,2.13,High,At Risk of Dehydration
33,Female,47.55,2.96,Low,At Risk of Dehydration
26,Female,96.67,2.47,High,At Risk of Dehydration
57,Male,69.44,1.46,High,At Risk of Dehydration
44,Female,61.97,3.68,Moderate,Hydrated
38,Female,94.25,2.45,High,At Risk of Dehydration
56,Female,59.38,1.8,High,At Risk of Dehydration
39,Male,64.35,2.85,Moderate,Hydrated
29,Female,93.42,2.82,High,Hydrated
35,Male,68.1,3.58,Moderate,Hydrated
28,Male,54.27,1.09,Low,At Risk of Dehydration
55,Female,60.07,3.84,Moderate,Hydrated
29,Male,79.85,2.34,Moderate,At Risk of Dehydration
40,Male,56.96,3.88,Low,At Risk of Dehydration
28,Male,94.18,2.24,Moderate,At Risk of Dehydration
52,Male,67.1,2.71,Moderate,Hydrated
19,Male,68.5,1.72,Moderate,At Risk of Dehydration
27,Female,47.03,1.91,Moderate,At Risk of Dehydration
45,Male,63.12,2.28,Low,At Risk of Dehydration
58,Male,81.77,3.04,Low,Hydrated
58,Female,82.4,1.72,Low,At Risk of Dehydration
53,Male,54.77,1.01,Moderate,At Risk of Dehydration
26,Male,61.11,2.66,Moderate,At Risk of Dehydration
59,Female,64.92,1.87,Moderate,At Risk of Dehydration
35,Female,59.01,3.69,Moderate,Hydrated
40,Male,78.28,1.21,High,At Risk of Dehydration
27,Female,90.37,2.49,Low,Hydrated
40,Female,87.81,1.63,High,At Risk of Dehydration
44,Female,56.84,3.46,Moderate,Hydrated
19,Male,55.56,1.83,Low,At Risk of Dehydration
56,Male,72.45,2.29,High,At Risk of Dehydration
40,Female,67.68,1.4,High,At Risk of Dehydration
43,Female,58.53,1.32,Low,Hydrated
57,Male,64.67,1.86,High,At Risk of Dehydration
20,Female,50.22,3.54,Moderate,At Risk of Dehydration
54,Female,58.3,1.71,Moderate,At Risk of Dehydration
21,Female,74.72,3.55,Moderate,At Risk of Dehydration
51,Male,65.72,2.48,High,At Risk of Dehydration
18,Male,47.49,3.57,Moderate,Hydrated
51,Female,53.95,1.84,Moderate,Hydrated
37,Male,55.13,1.53,Low,At Risk of Dehydration
45,Male,86.7,2.64,High,At Risk of Dehydration
34,Female,63.46,1.73,Low,At Risk of Dehydration
55,Male,93.71,2.19,High,At Risk of Dehydration
37,Female,87.21,1.47,Low,At Risk of Dehydration
40,Male,79.53,2.9,Moderate,At Risk of Dehydration
49,Male,73.63,1.73,High,At Risk of Dehydration
26,Male,49.29,1.8,Moderate,At Risk of Dehydration
55,Male,58.12,2.24,Moderate,Hydrated
33,Female,53.84,2.15,Low,At Risk of Dehydration
18,Male,98.01,2.66,Moderate,Hydrated
27,Male,83.45,2.39,High,Hydrated
35,Female,96.09,2.97,Moderate,At Risk of Dehydration
18,Male,89.88,2.72,Low,At Risk of Dehydration
50,Male,85.17,3.38,Low,Hydrated
33,Female,74.51,3.62,Low,At Risk of Dehydration
35,Male,50.83,1.55,Moderate,At Risk of Dehydration
38,Male,49.94,1.19,Low,At Risk of Dehydration
51,Female,58.48,1.35,Moderate,At Risk of Dehydration
27,Female,50.44,2.61,Low,Hydrated
42,Female,74.86,2.9,High,Hydrated
48,Female,69.99,3.24,Moderate,Hydrated
26,Female,68.78,1.07,Moderate,At Risk of Dehydration
35,Female,62.56,2.61,Low,At Risk of Dehydration
46,Male,67.12,3.38,Low,At Risk of Dehydration
24,Female,97.18,3.78,Low,Hydrated
25,Female,84.14,1.96,Low,At Risk of Dehydration
34,Female,67.6,2.82,High,Hydrated
50,Male,92.55,1.03,Low,At Risk of Dehydration
36,Male,91.74,2.52,High,At Risk of Dehydration
40,Female,78.09,3.27,Low,Hydrated
22,Female,66.72,2.95,Low,At Risk of Dehydration
47,Female,83.79,3.3,High,At Risk of Dehydration
40,Female,45.23,2.67,Moderate,At Risk of Dehydration
50,Male,92.27,3.37,Low,Hydrated
58,Female,99.15,1.19,Low,At Risk of Dehydration
34,Female,77.44,1.89,Moderate,At Risk of Dehydration
31,Male,53.68,2.33,Moderate,At Risk of Dehydration
18,Female,46.13,1.43,Moderate,At Risk of Dehydration
21,Female,53.66,2.79,Low,Hydrated
58,Male,47.74,1.5,Moderate,Hydrated
36,Female,89.76,3.04,Moderate,At Risk of Dehydration
39,Female,72.39,3.98,Moderate,Hydrated
40,Male,89.38,1.57,High,At Risk of Dehydration
31,Female,51.76,2.07,High,At Risk of Dehydration
21,Male,66.27,2.43,High,At Risk of Dehydration
18,Female,63.02,2.93,Low,Hydrated
29,Female,67.33,3.47,Low,At Risk of Dehydration
28,Male,69.96,3.98,Low,Hydrated
26,Female,94.84,3.32,Moderate,Hydrated
37,Male,78.24,1.3,Low,At Risk of Dehydration
22,Male,69.05,1.74,Moderate,At Risk of Dehydration
58,Female,66.55,1.38,Moderate,At Risk of Dehydration
39,Female,78.41,1.05,Moderate,At Risk of Dehydration
50,Female,64.93,1.34,High,At Risk of Dehydration
31,Female,56.66,2.97,High,At Risk of Dehydration
59,Male,98.47,1.77,High,At Risk of Dehydration
45,Female,55.3,1.82,Low,At Risk of Dehydration
31,Male,54.07,1.28,Low,At Risk of Dehydration
59,Male,47.33,3.6,Moderate,Hydrated
57,Female,51.0,2.43,High,At Risk of Dehydration
56,Female,65.08,3.1,High,At Risk of Dehydration
26,Male,70.03,2.59,High,At Risk of Dehydration
33,Male,58.13,1.21,Low,At Risk of Dehydration
44,Female,89.15,3.89,High,Hydrated
38,Male,66.01,3.88,High,Hydrated
23,Male,45.08,2.16,High,At Risk of Dehydration
31,Male,86.21,2.92,Low,At Risk of Dehydration
53,Female,68.58,1.36,Moderate,At Risk of Dehydration
23,Female,99.01,2.41,Low,At Risk of Dehydration
47,Male,63.15,2.86,Low,At Risk of Dehydration
44,Female,52.7,3.88,High,Hydrated
37,Female,95.59,1.83,High,At Risk of Dehydration
18,Female,59.95,1.56,High,At Risk of Dehydration
42,Male,80.49,3.01,Moderate,At Risk of Dehydration
46,Male,47.66,2.87,Moderate,At Risk of Dehydration
33,Male,89.87,1.04,High,Hydrated
40,Male,86.89,2.07,High,At Risk of Dehydration
59,Male,76.31,2.95,Moderate,At Risk of Dehydration
28,Female,56.59,2.95,High,Hydrated
19,Male,91.93,3.24,Low,At Risk of Dehydration
44,Female,90.39,1.67,Low,At Risk of Dehydration
48,Female,82.78,3.94,High,Hydrated
20,Male,75.64,3.11,Low,Hydrated
46,Female,54.09,3.86,Moderate,Hydrated
18,Male,76.92,3.25,Low,At Risk of Dehydration
43,Male,47.7,2.5,Low,At Risk of Dehydration
38,Male,55.49,1.96,High,At Risk of Dehydration
20,Female,51.97,3.05,Low,Hydrated
26,Female,59.26,1.58,High,At Risk of Dehydration
24,Female,55.85,2.1,Moderate,Hydrated
23,Male,51.05,2.17,High,At Risk of Dehydration
48,Female,92.88,3.35,High,Hydrated
39,Female,69.91,1.54,Moderate,At Risk of Dehydration
59,Female,75.28,3.55,High,At Risk of Dehydration
38,Female,85.13,1.03,High,At Risk of Dehydration
42,Female,80.48,1.69,High,At Risk of Dehydration
38,Female,62.47,1.58,High,At Risk of Dehydration
28,Male,46.81,2.07,High,At Risk of Dehydration
38,Female,63.83,3.53,Moderate,At Risk of Dehydration
47,Male,67.83,3.91,Moderate,At Risk of Dehydration
45,Female,50.72,1.55,Low,At Risk of Dehydration
48,Male,63.32,2.37,Moderate,At Risk of Dehydration
30,Male,50.67,2.3,Low,At Risk of Dehydration
41,Male,52.58,3.07,High,Hydrated
21,Female,57.88,2.7,Moderate,Hydrated
39,Male,56.9,3.59,Moderate,Hydrated
53,Female,73.82,3.11,Low,At Risk of Dehydration
56,Male,83.77,1.46,High,At Risk of Dehydration
41,Male,66.12,1.74,Moderate,At Risk of Dehydration
56,Female,67.38,2.99,High,At Risk of Dehydration
57,Female,79.42,3.42,Moderate,At Risk of Dehydration
36,Female,61.83,3.11,Low,Hydrated
48,Female,99.96,1.1,Moderate,At Risk of Dehydration
34,Female,63.23,3.59,Moderate,Hydrated
24,Female,72.26,3.29,Moderate,At Risk of Dehydration
27,Female,77.8,2.33,High,At Risk of Dehydration
50,Male,82.07,2.11,Low,At Risk of Dehydration
45,Female,88.41,1.95,Moderate,At Risk of Dehydration
36,Female,61.55,2.15,Moderate,At Risk of Dehydration
50,Male,92.55,1.03,Low,At Risk of Dehydration
35,Female,69.23,3.25,High,Hydrated
26,Female,72.07,1.19,Low,At Risk of Dehydration
41,Male,45.09,3.22,Moderate,Hydrated
53,Female,89.37,2.28,Moderate,At Risk of Dehydration
41,Male,48.91,1.6,High,At Risk of Dehydration
30,Female,75.16,1.83,Moderate,At Risk of Dehydration
22,Male,84.58,1.57,High,At Risk of Dehydration
53,Male,63.89,1.49,Low,At Risk of Dehydration
33,Female,95.56,1.85,High,At Risk of Dehydration
18,Female,51.19,1.41,Low,At Risk of Dehydration
25,Female,46.59,1.23,High,At Risk of Dehydration
50,Female,55.78,1.14,Moderate,At Risk of Dehydration
33,Male,53.9,3.53,Moderate,Hydrated
20,Male,75.84,3.24,High,Hydrated
40,Male,95.72,3.37,Low,At Risk of Dehydration
36,Male,92.49,2.34,High,At Risk of Dehydration
47,Female,45.84,2.32,High,At Risk of Dehydration
25,Male,70.59,1.0,High,At Risk of Dehydration
33,Male,50.45,3.44,High,At Risk of Dehydration
59,Female,59.04,1.17,Low,At Risk of Dehydration
32,Male,59.94,2.57,Low,At Risk of Dehydration
43,Male,92.92,3.36,Low,Hydrated
23,Female,80.74,3.93,High,At Risk of Dehydration
37,Female,64.93,2.22,High,At Risk of Dehydration
29,Male,86.46,2.26,Low,Hydrated
26,Male,54.53,2.08,High,At Risk of Dehydration
37,Female,61.01,2.27,High,At Risk of Dehydration
18,Male,52.83,1.99,High,At Risk of Dehydration
30,Male,90.76,2.25,High,At Risk of Dehydration
33,Male,60.76,3.36,Moderate,Hydrated
56,Male,66.2,1.36,High,At Risk of Dehydration
59,Male,46.63,1.58,High,At Risk of Dehydration
52,Female,94.76,3.69,High,At Risk of Dehydration
44,Male,74.83,2.59,High,At Risk of Dehydration
35,Male,72.75,3.67,High,Hydrated
41,Male,69.86,3.08,Low,Hydrated
30,Female,67.41,1.92,High,At Risk of Dehydration
48,Male,55.25,1.26,High,At Risk of Dehydration
40,Male,95.37,2.92,High,At Risk of Dehydration
48,Female,55.46,3.69,Moderate,At Risk of Dehydration
53,Male,93.69,3.69,Low,Hydrated
33,Female,67.52,1.52,Low,At Risk of Dehydration
29,Male,98.23,3.12,High,Hydrated
21,Male,84.16,3.78,Moderate,Hydrated
51,Female,81.87,2.47,High,At Risk of Dehydration
51,Female,74.92,2.89,Low,Hydrated
24,Male,71.93,2.46,Low,At Risk of Dehydration
40,Female,51.55,1.77,Low,At Risk of Dehydration
29,Male,51.22,2.44,Low,At Risk of Dehydration
39,Female,98.69,2.92,Low,At Risk of Dehydration
34,Male,80.74,2.0,Moderate,At Risk of Dehydration
34,Male,89.72,3.37,High,At Risk of Dehydration
58,Female,61.39,1.54,Moderate,At Risk of Dehydration
35,Female,83.19,3.68,Moderate,Hydrated
33,Female,84.04,3.51,Low,Hydrated
35,Female,91.2,2.73,High,At Risk of Dehydration
44,Female,82.11,1.81,High,At Risk of Dehydration
37,Male,86.95,2.64,Moderate,At Risk of Dehydration
19,Male,53.33,3.94,Low,Hydrated
25,Female,77.07,2.75,Low,At Risk of Dehydration
56,Female,79.49,3.87,Moderate,Hydrated
30,Male,61.9,2.3,High,At Risk of Dehydration
37,Male,61.39,3.15,Low,At Risk of Dehydration
55,Female,85.32,3.45,Low,At Risk of Dehydration
41,Male,99.17,2.27,Low,At Risk of Dehydration
34,Female,73.78,3.93,Moderate,Hydrated
45,Male,83.14,2.39,Moderate,At Risk of Dehydration
20,Female,53.09,2.89,Low,At Risk of Dehydration
56,Male,48.8,3.46,Moderate,Hydrated
50,Male,79.68,3.75,Low,Hydrated
30,Male,82.53,1.56,Moderate,At Risk of Dehydration
32,Male,74.28,3.97,High,Hydrated
50,Male,98.43,2.28,Moderate,Hydrated
58,Female,46.19,1.37,Moderate,At Risk of Dehydration
27,Male,98.29,3.6,High,Hydrated
51,Female,94.32,3.49,High,At Risk of Dehydration
41,Male,79.82,1.37,Moderate,At Risk of Dehydration
59,Female,97.15,3.27,Low,At Risk of Dehydration
33,Female,93.98,3.77,Moderate,Hydrated
54,Male,76.59,1.42,High,At Risk of Dehydration
27,Male,73.76,3.11,Moderate,At Risk of Dehydration
27,Female,59.69,2.95,Low,Hydrated
56,Male,95.12,2.69,Low,At Risk of Dehydration
37,Female,76.49,1.17,High,At Risk of Dehydration
32,Male,49.69,1.21,Moderate,At Risk of Dehydration
46,Female,76.57,2.78,Low,Hydrated
26,Female,53.69,3.47,Low,At Risk of Dehydration
30,Male,78.19,1.72,High,At Risk of Dehydration
20,Male,85.82,2.93,High,At Risk of Dehydration
47,Female,74.67,2.05,Moderate,At Risk of Dehydration
49,Male,73.71,3.65,Moderate,Hydrated
40,Male,76.51,3.3,Low,Hydrated
44,Female,77.36,2.82,Low,At Risk of Dehydration
19,Female,60.52,2.21,Low,At Risk of Dehydration
22,Male,91.55,2.41,Low,At Risk of Dehydration
52,Male,61.84,2.66,High,At Risk of Dehydration
23,Male,52.75,1.74,Low,At Risk of Dehydration
48,Female,66.52,1.2,Moderate,At Risk of Dehydration
35,Female,49.34,3.12,Low,At Risk of Dehydration
33,Male,45.11,3.62,High,Hydrated
40,Female,60.77,1.24,Moderate,At Risk of Dehydration
46,Male,83.78,2.15,High,At Risk of Dehydration
59,Male,86.66,3.53,High,At Risk of Dehydration
39,Female,59.53,3.28,Moderate,Hydrated
22,Male,70.8,3.14,Moderate,Hydrated
20,Male,85.07,3.35,Low,At Risk of Dehydration
43,Female,90.84,2.71,Moderate,At Risk of Dehydration
34,Female,88.01,1.47,Low,At Risk of Dehydration
20,Female,80.82,3.78,Moderate,Hydrated
43,Female,48.87,2.26,Low,At Risk of Dehydration
47,Female,86.68,1.95,Low,At Risk of Dehydration
27,Female,91.94,1.24,High,At Risk of Dehydration
47,Male,61.67,1.7,Moderate,At Risk of Dehydration
23,Male,85.09,1.84,Moderate,At Risk of Dehydration
31,Male,60.2,2.71,Moderate,At Risk of Dehydration
59,Male,58.21,3.42,Low,Hydrated
52,Male,99.83,3.52,Low,Hydrated
41,Male,72.45,2.65,High,At Risk of Dehydration
30,Male,92.74,3.95,Low,Hydrated
33,Male,67.48,3.58,Moderate,Hydrated
38,Female,56.88,1.92,Moderate,At Risk of Dehydration
29,Male,52.57,1.16,High,At Risk of Dehydration
53,Male,67.33,3.71,High,Hydrated
49,Male,74.77,3.8,High,At Risk of Dehydration
52,Male,71.45,2.06,Low,Hydrated
19,Male,51.32,2.42,Low,Hydrated
31,Female,63.41,3.96,Low,Hydrated
57,Female,99.35,3.81,Moderate,At Risk of Dehydration
43,Male,55.3,2.82,Low,Hydrated
42,Female,52.2,2.01,Low,At Risk of Dehydration
46,Male,48.85,3.44,Moderate,Hydrated
43,Male,67.48,1.4,Moderate,At Risk of Dehydration
21,Male,62.02,2.58,Low,At Risk of Dehydration
51,Male,65.68,1.12,Moderate,At Risk of Dehydration
22,Male,94.22,1.82,Low,At Risk of Dehydration
31,Female,45.24,1.54,Moderate,At Risk of Dehydration
20,Male,94.23,1.4,Low,At Risk of Dehydration
23,Female,96.37,3.73,Low,Hydrated
37,Female,67.56,3.16,Moderate,Hydrated
29,Male,70.27,1.59,Low,At Risk of Dehydration
42,Female,77.91,3.54,High,At Risk of Dehydration
43,Male,61.23,3.3,Low,Hydrated
44,Female,46.84,1.89,High,At Risk of Dehydration
59,Female,78.25,2.36,Moderate,At Risk of Dehydration
21,Female,52.6,2.53,Low,At Risk of Dehydration
52,Female,51.87,3.85,Low,Hydrated
57,Male,69.89,1.29,High,At Risk of Dehydration
51,Male,55.16,3.81,Moderate,At Risk of Dehydration
45,Male,66.28,3.47,Low,Hydrated
26,Male,47.22,1.67,Low,At Risk of Dehydration
20,Male,95.19,3.04,Moderate,At Risk of Dehydration
39,Female,77.21,3.33,Moderate,At Risk of Dehydration
56,Female,77.7,2.74,Moderate,At Risk of Dehydration
43,Male,72.7,3.32,High,At Risk of Dehydration
26,Male,74.04,3.09,Moderate,At Risk of Dehydration
28,Male,61.22,3.68,High,At Risk of Dehydration
21,Female,45.83,2.22,High,At Risk of Dehydration
48,Female,61.27,1.72,High,At Risk of Dehydration
54,Female,76.88,3.33,High,At Risk of Dehydration
54,Male,49.69,2.53,High,At Risk of Dehydration
28,Male,60.59,1.68,High,At Risk of Dehydration
20,Female,95.86,3.26,Low,Hydrated
18,Male,96.09,1.8,Low,At Risk of Dehydration
28,Female,59.66,3.64,Moderate,Hydrated
57,Male,63.31,3.15,Moderate,At Risk of Dehydration
58,Male,55.39,2.69,Low,At Risk of Dehydration
18,Male,97.21,3.75,High,Hydrated
57,Female,89.84,1.67,Low,At Risk of Dehydration
32,Male,86.2,3.6,Moderate,Hydrated
28,Female,67.91,1.75,High,At Risk of Dehydration
31,Male,57.47,3.96,Moderate,Hydrated
36,Female,78.95,2.15,Low,At Risk of Dehydration
34,Male,57.92,2.58,Moderate,At Risk of Dehydration
31,Male,82.22,1.75,High,At Risk of Dehydration
42,Male,48.96,3.92,High,Hydrated
24,Female,45.54,3.74,Low,Hydrated
27,Female,61.23,1.07,Moderate,At Risk of Dehydration
39,Male,92.15,1.95,Moderate,At Risk of Dehydration
55,Female,61.42,3.32,Moderate,Hydrated
21,Male,54.19,3.63,Low,Hydrated
35,Male,94.47,1.44,Moderate,At Risk of Dehydration
50,Female,49.75,3.39,Moderate,Hydrated
38,Male,72.92,3.84,Moderate,Hydrated
20,Male,54.2,3.23,Moderate,At Risk of Dehydration
39,Male,83.65,2.76,Low,Hydrated
59,Male,63.7,3.29,Moderate,At Risk of Dehydration
42,Female,56.76,1.01,Low,At Risk of Dehydration
43,Female,98.06,2.51,High,At Risk of Dehydration
57,Female,62.94,1.53,Low,At Risk of Dehydration
26,Female,51.19,3.05,Low,Hydrated
56,Female,65.92,1.88,Low,At Risk of Dehydration
59,Male,92.5,1.36,Moderate,At Risk of Dehydration
49,Male,90.6,2.08,Low,Hydrated
59,Female,46.05,3.4,High,Hydrated
34,Male,84.08,3.7,Low,At Risk of Dehydration
41,Female,81.21,3.9,Low,Hydrated
19,Male,70.22,3.6,High,Hydrated
27,Male,55.08,1.8,High,At Risk of Dehydration
21,Male,60.78,1.52,Low,At Risk of Dehydration
48,Female,63.13,1.18,High,Hydrated
33,Male,80.65,2.94,High,At Risk of Dehydration
55,Female,84.5,1.3,High,At Risk of Dehydration
37,Male,85.39,1.82,High,At Risk of Dehydration
25,Male,63.45,1.93,Moderate,At Risk of Dehydration
46,Female,49.81,2.5,Low,At Risk of Dehydration
32,Male,52.17,1.55,High,Hydrated
55,Female,98.99,2.53,Moderate,At Risk of Dehydration
18,Male,52.5,2.31,Moderate,Hydrated
51,Male,53.86,1.03,High,At Risk of Dehydration
26,Male,73.93,2.05,High,At Risk of Dehydration
20,Male,79.72,1.52,Low,At Risk of Dehydration
37,Female,63.46,3.44,Low,At Risk of Dehydration
43,Male,66.2,3.5,Low,Hydrated
23,Male,93.63,1.87,Low,At Risk of Dehydration
24,Female,77.98,2.23,High,At Risk of Dehydration
36,Female,62.9,1.73,Low,At Risk of Dehydration
50,Male,53.62,1.25,Moderate,At Risk of Dehydration
23,Male,57.53,3.68,High,At Risk of Dehydration
18,Male,83.61,2.3,Moderate,At Risk of Dehydration
22,Male,82.37,2.8,High,At Risk of Dehydration
32,Female,75.98,2.57,High,Hydrated
19,Male,51.9,2.25,Low,At Risk of Dehydration
39,Female,62.31,1.14,Low,At Risk of Dehydration
33,Female,46.38,3.47,Low,Hydrated
27,Female,68.27,2.02,Moderate,Hydrated
26,Male,45.65,1.91,Moderate,At Risk of Dehydration
31,Female,50.45,3.99,Moderate,Hydrated
56,Female,88.49,2.2,High,At Risk of Dehydration
20,Male,45.98,1.68,High,At Risk of Dehydration
32,Male,78.33,3.15,Low,Hydrated
58,Male,54.56,2.87,High,At Risk of Dehydration
53,Male,58.74,3.49,Low,At Risk of Dehydration
41,Female,48.86,3.64,Low,At Risk of Dehydration
27,Female,51.11,2.06,Moderate,At Risk of Dehydration
22,Female,63.5,2.61,Low,At Risk of Dehydration
42,Male,82.82,2.46,High,At Risk of Dehydration
48,Male,49.52,3.44,High,At Risk of Dehydration
55,Female,58.7,3.74,High,At Risk of Dehydration
34,Male,52.17,1.95,Moderate,At Risk of Dehydration
36,Female,45.43,3.06,Low,Hydrated
51,Male,62.09,2.04,High,At Risk of Dehydration
55,Female,55.89,1.07,Low,At Risk of Dehydration
30,Male,79.8,3.82,High,Hydrated
28,Male,70.57,3.38,Moderate,Hydrated
46,Female,96.58,2.91,High,At Risk of Dehydration
32,Male,74.75,2.34,Moderate,Hydrated
35,Female,51.12,3.58,Low,Hydrated
31,Female,83.76,3.78,Moderate,At Risk of Dehydration
38,Male,77.0,2.9,High,Hydrated
34,Male,49.0,1.01,High,At Risk of Dehydration
52,Female,65.22,3.59,Low,Hydrated
39,Female,54.53,1.87,High,At Risk of Dehydration
